algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,total_weight,iterations,nodes_explored,success,complexity,efficiency_score,throughput,memory_efficiency
A*,medium,50,245,0.9973000001082255,0.0083770751953125,4,23,8,8,True,O(E log V),0.007657377982593183,8.013623158502176,853.1444862465339
Dijkstra,medium,50,245,0.654499999654945,0.00493621826171875,4,23,8,8,True,O(E log V),0.004798210181830544,12.20442411016201,1347.6593425801211
Bellman-Ford,medium,50,245,2.649799999744573,0.01983642578125,4,23,6,50,True,O(V * E),0.019365985398971226,18.862230271924673,2399.643802873011
BFS,medium,50,245,0.2586999999039108,0.00519561767578125,3,73,34,34,True,O(V + E),0.0032090618099085634,130.92029269380063,5487.749854692687
DFS,medium,50,245,0.5632000002151472,0.00637054443359375,44,1968,44,44,True,O(V + E),0.004987661486234713,77.98652956969411,5969.708261910086
Multi-Source-BFS,medium,50,245,0.3335999999762862,0.00519561767578125,3,73,34,34,True,O(V + E),0.003529645052003802,101.61386731144546,5487.749854692687
Topological-Sort,medium,50,245,1.8466000001353677,0.00397491455078125,50,50,50,50,True,O(V + E),0.009511700220367608,27.06213465919932,10050.423879571581
A*,medium,50,245,2.653099999861297,0.0077972412109375,3,58,48,48,True,O(E log V),0.014509889839833204,18.085226631441348,5456.255984014874
Dijkstra,medium,50,245,3.540400000019872,0.00701904296875,3,58,67,49,True,O(E log V),0.017992861917287564,13.836335912273407,6110.454849905619
Bellman-Ford,medium,50,245,3.334100000301987,0.00677490234375,3,58,5,50,True,O(V * E),0.01701110457092856,14.992054209910526,6430.948941782327
BFS,medium,50,245,0.19730000030904193,0.00525665283203125,3,165,20,20,True,O(V + E),0.002970951192049399,100.85728678179964,3196.5973719380736
DFS,medium,50,245,2.2914000001037493,0.00585174560546875,30,1401,30,30,True,O(V + E),0.012174746806583063,13.086721339487987,4378.446271568427
Multi-Source-BFS,medium,50,245,0.5563999998230429,0.00525665283203125,3,165,20,20,True,O(V + E),0.004507953087501413,35.8808755047531,3196.5973719380736
Topological-Sort,medium,50,245,4.104000000097585,0.00397491455078125,50,50,50,50,True,O(V + E),0.019173711034711886,12.180267965605696,10050.423879571581
